mrr_month,new_mrr,expansion_mrr,contraction_mrr,churn_mrr,total_mrr
2025-01-01,19811,1725,-1275,-7881,12380
2025-02-01,17558,400,-1125,-11183,5650
2025-03-01,17058,1275,-1050,-14289,2994
2025-04-01,18002,1100,-1350,-7673,10079
2025-05-01,21636,1725,-1250,-9794,12317
2025-06-01,18028,1325,-975,-7758,10620
2025-07-01,16426,1750,-1300,-10203,6673
2025-08-01,18529,1875,-1225,-10583,8596
2025-09-01,17804,725,-1425,-10370,6734
2025-10-01,16396,1025,-1100,-11311,5010
2025-11-01,18035,675,-1000,-11331,6379
2025-12-01,21305,1450,-1075,-11622,10058
