mrr_month,new_mrr,expansion_mrr,contraction_mrr,churn_mrr,total_mrr,mrr_balance
2023-01-01,11504,0,0,0,11504,11504
2023-02-01,18469,0,0,0,18469,29973
2023-03-01,17346,0,0,0,17346,47319
2023-04-01,17669,1150,-900,0,17919,65238
2023-05-01,18423,1250,-1225,0,18448,83686
2023-06-01,20725,1100,-1175,0,20650,104336
2023-07-01,19141,650,-1275,-6103,12413,116749
2023-08-01,18190,700,-1000,-13637,4253,121002
2023-09-01,19046,1425,-1150,-12401,6920,127922
2023-10-01,17865,1675,-1650,-11367,6523,134445
2023-11-01,19049,825,-1175,-8712,9987,144432
2023-12-01,19502,1400,-1125,-12551,7226,151658
2024-01-01,19482,1350,-1150,-10619,9063,160721
2024-02-01,17355,1475,-1150,-8515,9165,169886
2024-03-01,17197,1125,-1075,-10768,6479,176365
2024-04-01,18158,1350,-900,-7424,11184,187549
2024-05-01,18589,1425,-1000,-12564,6450,193999
2024-06-01,18967,675,-1325,-10329,7988,201987
2024-07-01,18186,1450,-1200,-11253,7183,209170
2024-08-01,17880,1200,-925,-11814,6341,215511
2024-09-01,19545,1025,-725,-10729,9116,224627
2024-10-01,15800,1000,-825,-10586,5389,230016
2024-11-01,18025,1275,-975,-12386,5939,235955
2024-12-01,16268,1525,-1275,-12355,4163,240118
2025-01-01,19811,1725,-1275,-7881,12380,252498
2025-02-01,17558,400,-1125,-11183,5650,258148
2025-03-01,17058,1275,-1050,-14289,2994,261142
2025-04-01,18002,1100,-1350,-7673,10079,271221
2025-05-01,21636,1725,-1250,-9794,12317,283538
2025-06-01,18028,1325,-975,-7758,10620,294158
2025-07-01,16426,1750,-1300,-10203,6673,300831
2025-08-01,18529,1875,-1225,-10583,8596,309427
2025-09-01,17804,725,-1425,-10370,6734,316161
2025-10-01,16396,1025,-1100,-11311,5010,321171
2025-11-01,18035,675,-1000,-11331,6379,327550
2025-12-01,21305,1450,-1075,-11622,10058,337608
2026-01-01,19567,750,-875,-10554,8888,346496
2026-02-01,18708,1550,-475,-9603,10180,356676
2026-03-01,11159,1350,-1200,-10391,918,357594
2026-04-01,0,1150,-1200,-9384,-9434,348160
2026-05-01,0,1050,-1425,-10798,-11173,336987
2026-06-01,0,425,-550,-13628,-13753,323234
2026-07-01,0,0,0,-12759,-12759,310475
2026-08-01,0,0,0,-11785,-11785,298690
2026-09-01,0,0,0,-3758,-3758,294932
