mrr_month,starting_mrr,expansion_mrr,contraction_mrr,churn_mrr,nrr_pct
2025-01-01,240118,1725,-1275,-7881,96.91
2025-02-01,252498,400,-1125,-11183,95.28
2025-03-01,258148,1275,-1050,-14289,94.55
2025-04-01,261142,1100,-1350,-7673,96.97
2025-05-01,271221,1725,-1250,-9794,96.56
2025-06-01,283538,1325,-975,-7758,97.39
2025-07-01,294158,1750,-1300,-10203,96.68
2025-08-01,300831,1875,-1225,-10583,96.70
2025-09-01,309427,725,-1425,-10370,96.42
2025-10-01,316161,1025,-1100,-11311,96.40
2025-11-01,321171,675,-1000,-11331,96.37
2025-12-01,327550,1450,-1075,-11622,96.57
