state,customer_count,total_mrr
CA,802,58203
NY,717,52628
TX,649,51686
FL,465,35130
WA,419,28831
MA,322,22153
PA,302,21068
IL,272,17968
GA,207,14258
CO,182,14183
NC,192,13328
AZ,152,10943
OH,141,9979
NJ,143,9722
MI,149,9631
MD,126,9389
VA,128,9337
OR,139,8871
MN,138,8632
LA,104,7641
NV,76,6119
MO,70,5985
WI,72,5723
IN,65,5255
UT,72,5138
CT,55,5000
KY,72,4738
SC,71,4544
TN,63,4157
AL,62,4003
NE,45,3620
MS,37,3363
AR,42,2973
RI,42,2843
KS,28,2527
OK,33,2212
ID,29,2056
NM,27,1913
ME,31,1739
NH,28,1607
MT,20,1580
WY,12,1348
ND,21,1274
SD,19,1241
DE,15,1170
VT,17,1158
IA,15,1145
HI,19,1041
WV,9,456
AK,5,295
