mrr_month,new_mrr,expansion_mrr,contraction_mrr,churn_mrr,total_mrr
2025-01-01,19811,1300,-1150,-3183,16778
2025-02-01,17558,400,-1150,-4573,12235
2025-03-01,17058,1050,-1000,-5906,11202
2025-04-01,18002,950,-1150,-3145,14657
2025-05-01,21636,1200,-1250,-3980,17606
2025-06-01,18028,900,-850,-3142,14936
2025-07-01,16426,1300,-1200,-4141,12385
2025-08-01,18529,1350,-950,-4237,14692
2025-09-01,17804,550,-1150,-4188,13016
2025-10-01,16396,800,-900,-4599,11697
2025-11-01,18035,650,-850,-4528,13307
2025-12-01,21305,1050,-950,-4685,16720
