plan_tier,subscription_id,customer_id,expected_amount
Business,4523,4523,199
Business,8075,8075,199
Business,41364,41364,199
Business,41582,41582,199
Business,47516,47516,199
Growth,1361,1361,79
Growth,5968,5968,79
Growth,7567,7567,79
Growth,7979,7979,79
Growth,9631,9631,79
Growth,14656,14656,79
Growth,18941,18941,79
Growth,19259,19259,79
Growth,20150,20150,79
Growth,21391,21391,79
Growth,25180,25180,79
Growth,29025,29025,79
Growth,34735,34735,79
Growth,44434,44434,79
Growth,48077,48077,79
Starter,57,57,29
Starter,1369,1369,29
Starter,2574,2574,29
Starter,4631,4631,29
Starter,5081,5081,29
Starter,6087,6087,29
Starter,7413,7413,29
Starter,7443,7443,29
Starter,9245,9245,29
Starter,9335,9335,29
Starter,9633,9633,29
Starter,9773,9773,29
Starter,10162,10162,29
Starter,10834,10834,29
Starter,11053,11053,29
Starter,11976,11976,29
Starter,12782,12782,29
Starter,14549,14549,29
Starter,15449,15449,29
Starter,16000,16000,29
Starter,18406,18406,29
Starter,20305,20305,29
Starter,23468,23468,29
Starter,24136,24136,29
Starter,24704,24704,29
Starter,25295,25295,29
Starter,25443,25443,29
Starter,25741,25741,29
Starter,26047,26047,29
Starter,26159,26159,29
Starter,27505,27505,29
Starter,28203,28203,29
Starter,30862,30862,29
Starter,31206,31206,29
Starter,32303,32303,29
Starter,33263,33263,29
Starter,35915,35915,29
Starter,36737,36737,29
Starter,37531,37531,29
Starter,39932,39932,29
Starter,39941,39941,29
Starter,40411,40411,29
Starter,40997,40997,29
Starter,43127,43127,29
Starter,43163,43163,29
Starter,43748,43748,29
Starter,44310,44310,29
Starter,45907,45907,29
Starter,47465,47465,29
Starter,48388,48388,29
