invoice_id,subscription_id,customer_id,invoice_month,invoice_amount,first_churn_date,active_in_dec_2025
11234,3547,3547,2025-12-01,199,2025-11-14,0
14132,4387,4387,2025-12-01,29,2025-11-19,0
14619,4524,4524,2025-12-01,29,2025-11-17,0
24444,7425,7425,2025-12-01,29,2025-11-20,0
38473,11482,11482,2025-12-01,199,2025-11-15,0
44480,13241,13241,2025-12-01,79,2025-11-25,0
48277,14431,14431,2025-12-01,79,2025-11-12,0
58384,17387,17387,2025-12-01,79,2025-11-12,0
61873,18508,18508,2025-12-01,29,2025-11-24,0
62263,18644,18644,2025-12-01,79,2025-11-27,0
62450,18678,18678,2025-12-01,199,2025-11-21,0
64054,19270,19270,2025-12-01,199,2025-11-20,0
65039,19619,19619,2025-12-01,29,2025-11-27,0
67350,20275,20275,2025-12-01,79,2025-11-21,0
71958,21643,21643,2025-12-01,29,2025-11-27,0
76784,23274,23274,2025-12-01,79,2025-11-30,0
82662,25247,25247,2025-12-01,79,2025-11-14,0
84115,25751,25751,2025-12-01,79,2025-11-30,0
86694,26538,26538,2025-12-01,79,2025-11-13,0
94448,28987,28987,2025-12-01,29,2025-11-23,0
94489,28998,28998,2025-12-01,29,2025-11-26,0
97444,29876,29876,2025-12-01,29,2025-11-18,0
100081,30788,30788,2025-12-01,79,2025-11-24,0
100582,30889,30889,2025-12-01,29,2025-11-27,0
115097,35221,35221,2025-12-01,29,2025-11-23,0
116866,35891,35891,2025-12-01,79,2025-11-13,0
118611,36335,36335,2025-12-01,199,2025-11-24,0
129437,39650,39650,2025-12-01,29,2025-11-20,0
129511,39678,39678,2025-12-01,79,2025-11-22,0
131747,40349,40349,2025-12-01,79,2025-11-23,0
136552,41680,41680,2025-12-01,29,2025-11-16,0
141927,43281,43281,2025-12-01,29,2025-11-23,0
151429,46028,46028,2025-12-01,29,2025-11-24,0
