invoice_id,subscription_id,customer_id,plan_tier,invoice_month,invoice_amount,total_paid,max_days_to_pay,payment_issue_type,amount_outstanding
47974,14290,14290,Starter,2025-12-01,29,29.0,40.0,Late Payment,0.00
48350,14449,14449,Growth,2025-12-01,79,79.0,38.0,Late Payment,0.00
22951,7039,7039,Starter,2025-12-01,29,29.0,45.0,Late Payment,0.00
44501,13246,13246,Growth,2025-12-01,79,79.0,38.0,Late Payment,0.00
8044,2616,2616,Growth,2025-12-01,79,79.0,34.0,Late Payment,0.00
18928,5734,5734,Business,2025-12-01,199,199.0,41.0,Late Payment,0.00
27337,8272,8272,Starter,2025-12-01,29,29.0,37.0,Late Payment,0.00
20089,6159,6159,Growth,2025-12-01,79,79.0,42.0,Late Payment,0.00
27068,8194,8194,Growth,2025-12-01,79,79.0,41.0,Late Payment,0.00
17738,5412,5412,Starter,2025-12-01,29,29.0,37.0,Late Payment,0.00
33163,9937,9937,Starter,2025-12-01,29,29.0,44.0,Late Payment,0.00
44630,13262,13262,Growth,2025-12-01,79,79.0,35.0,Late Payment,0.00
9658,3115,3115,Starter,2025-12-01,29,29.0,34.0,Late Payment,0.00
22310,6843,6843,Starter,2025-12-01,29,29.0,32.0,Late Payment,0.00
50220,15081,15081,Business,2025-12-01,199,199.0,34.0,Late Payment,0.00
35625,10654,10654,Growth,2025-12-01,79,79.0,36.0,Late Payment,0.00
19753,5999,5999,Growth,2025-12-01,79,79.0,35.0,Late Payment,0.00
11658,3684,3684,Growth,2025-12-01,79,79.0,44.0,Late Payment,0.00
23544,7201,7201,Business,2025-12-01,199,199.0,35.0,Late Payment,0.00
14481,4494,4494,Starter,2025-12-01,29,29.0,42.0,Late Payment,0.00
14563,4508,4508,Growth,2025-12-01,79,79.0,41.0,Late Payment,0.00
54430,16304,16304,Starter,2025-12-01,29,29.0,34.0,Late Payment,0.00
5774,1879,1879,Starter,2025-12-01,29,29.0,34.0,Late Payment,0.00
18619,5620,5620,Growth,2025-12-01,79,79.0,41.0,Late Payment,0.00
552,209,209,Growth,2025-12-01,79,79.0,40.0,Late Payment,0.00
44531,13252,13252,Growth,2025-12-01,79,79.0,34.0,Late Payment,0.00
36183,10793,10793,Starter,2025-12-01,29,29.0,31.0,Late Payment,0.00
1852,605,605,Starter,2025-12-01,29,29.0,42.0,Late Payment,0.00
60572,18020,18020,Business,2025-12-01,199,199.0,33.0,Late Payment,0.00
44467,13240,13240,Growth,2025-12-01,79,79.0,45.0,Late Payment,0.00
33905,10141,10141,Business,2025-12-01,199,199.0,34.0,Late Payment,0.00
52349,15685,15685,Business,2025-12-01,199,199.0,44.0,Late Payment,0.00
55992,16706,16706,Starter,2025-12-01,29,29.0,33.0,Late Payment,0.00
41280,12237,12237,Starter,2025-12-01,29,29.0,34.0,Late Payment,0.00
7809,2544,2544,Starter,2025-12-01,29,29.0,33.0,Late Payment,0.00
12466,3900,3900,Growth,2025-12-01,79,79.0,35.0,Late Payment,0.00
27447,8306,8306,Starter,2025-12-01,29,29.0,38.0,Late Payment,0.00
12322,3876,3876,Growth,2025-12-01,79,79.0,39.0,Late Payment,0.00
32493,9676,9676,Starter,2025-12-01,29,29.0,36.0,Late Payment,0.00
5207,1695,1695,Growth,2025-12-01,79,79.0,45.0,Late Payment,0.00
38329,11448,11448,Growth,2025-12-01,79,79.0,42.0,Late Payment,0.00
32720,9777,9777,Business,2025-12-01,199,199.0,37.0,Late Payment,0.00
34616,10376,10376,Starter,2025-12-01,29,29.0,34.0,Late Payment,0.00
46281,13749,13749,Business,2025-12-01,199,199.0,37.0,Late Payment,0.00
54794,16398,16398,Business,2025-12-01,199,199.0,38.0,Late Payment,0.00
61553,18397,18397,Starter,2025-12-01,29,29.0,38.0,Late Payment,0.00
55381,16584,16584,Growth,2025-12-01,79,79.0,31.0,Late Payment,0.00
59318,17599,17599,Growth,2025-12-01,79,79.0,39.0,Late Payment,0.00
57208,17065,17065,Starter,2025-12-01,29,29.0,39.0,Late Payment,0.00
15197,4682,4682,Growth,2025-12-01,79,79.0,33.0,Late Payment,0.00
47190,14039,14039,Starter,2025-12-01,29,29.0,31.0,Late Payment,0.00
40421,12002,12002,Starter,2025-12-01,29,29.0,40.0,Late Payment,0.00
52569,15756,15756,Starter,2025-12-01,29,29.0,41.0,Late Payment,0.00
411,165,165,Starter,2025-12-01,29,29.0,43.0,Late Payment,0.00
15156,4660,4660,Starter,2025-12-01,29,29.0,38.0,Late Payment,0.00
30582,9115,9115,Starter,2025-12-01,29,29.0,37.0,Late Payment,0.00
44030,13127,13127,Business,2025-12-01,199,199.0,34.0,Late Payment,0.00
45725,13546,13546,Business,2025-12-01,199,199.0,44.0,Late Payment,0.00
3039,993,993,Starter,2025-12-01,29,29.0,39.0,Late Payment,0.00
18837,5694,5694,Growth,2025-12-01,79,79.0,42.0,Late Payment,0.00
47160,14034,14034,Starter,2025-12-01,29,29.0,45.0,Late Payment,0.00
2147,702,702,Growth,2025-12-01,79,79.0,37.0,Late Payment,0.00
10126,3235,3235,Starter,2025-12-01,29,29.0,37.0,Late Payment,0.00
33238,9971,9971,Growth,2025-12-01,79,79.0,35.0,Late Payment,0.00
15980,4943,4943,Growth,2025-12-01,79,79.0,37.0,Late Payment,0.00
19173,5816,5816,Starter,2025-12-01,29,29.0,34.0,Late Payment,0.00
45182,13389,13389,Growth,2025-12-01,79,79.0,34.0,Late Payment,0.00
44566,13255,13255,Starter,2025-12-01,29,29.0,37.0,Late Payment,0.00
47605,14178,14178,Growth,2025-12-01,79,79.0,37.0,Late Payment,0.00
17043,5216,5216,Starter,2025-12-01,29,29.0,38.0,Late Payment,0.00
47877,14281,14281,Growth,2025-12-01,89,89.0,32.0,Late Payment,0.00
25181,7653,7653,Starter,2025-12-01,29,29.0,33.0,Late Payment,0.00
31026,9215,9215,Starter,2025-12-01,29,29.0,44.0,Late Payment,0.00
51115,15334,15334,Starter,2025-12-01,29,29.0,40.0,Late Payment,0.00
56661,16882,16882,Business,2025-12-01,199,199.0,41.0,Late Payment,0.00
37158,11071,11071,Starter,2025-12-01,29,29.0,34.0,Late Payment,0.00
3446,1118,1118,Growth,2025-12-01,79,79.0,36.0,Late Payment,0.00
44899,13342,13342,Growth,2025-12-01,79,79.0,38.0,Late Payment,0.00
51434,15408,15408,Business,2025-12-01,199,199.0,35.0,Late Payment,0.00
3900,1243,1243,Starter,2025-12-01,29,29.0,44.0,Late Payment,0.00
35577,10644,10644,Starter,2025-12-01,19,19.0,32.0,Late Payment,0.00
9880,3176,3176,Starter,2025-12-01,29,29.0,39.0,Late Payment,0.00
58154,17287,17287,Business,2025-12-01,199,199.0,34.0,Late Payment,0.00
58233,17331,17331,Starter,2025-12-01,29,29.0,37.0,Late Payment,0.00
12614,3960,3960,Growth,2025-12-01,79,79.0,34.0,Late Payment,0.00
38300,11444,11444,Starter,2025-12-01,29,29.0,35.0,Late Payment,0.00
41540,12312,12312,Business,2025-12-01,199,199.0,41.0,Late Payment,0.00
54563,16330,16330,Growth,2025-12-01,79,79.0,38.0,Late Payment,0.00
59975,17792,17792,Growth,2025-12-01,79,79.0,39.0,Late Payment,0.00
29056,8713,8713,Growth,2025-12-01,79,79.0,38.0,Late Payment,0.00
3318,1078,1078,Starter,2025-12-01,29,29.0,35.0,Late Payment,0.00
44401,13232,13232,Starter,2025-12-01,29,29.0,42.0,Late Payment,0.00
51466,15419,15419,Starter,2025-12-01,29,29.0,40.0,Late Payment,0.00
55053,16471,16471,Starter,2025-12-01,29,29.0,36.0,Late Payment,0.00
25208,7657,7657,Starter,2025-12-01,29,29.0,34.0,Late Payment,0.00
11957,3811,3811,Growth,2025-12-01,79,79.0,43.0,Late Payment,0.00
59009,17552,17552,Starter,2025-12-01,29,29.0,31.0,Late Payment,0.00
1371,449,449,Starter,2025-12-01,29,29.0,42.0,Late Payment,0.00
16568,5095,5095,Starter,2025-12-01,29,29.0,42.0,Late Payment,0.00
44223,13169,13169,Starter,2025-12-01,29,29.0,39.0,Late Payment,0.00
32877,9837,9837,Starter,2025-12-01,29,29.0,43.0,Late Payment,0.00
8685,2841,2841,Business,2025-12-01,199,199.0,37.0,Late Payment,0.00
3295,1076,1076,Growth,2025-12-01,79,79.0,43.0,Late Payment,0.00
20878,6402,6402,Growth,2025-12-01,79,79.0,45.0,Late Payment,0.00
25526,7780,7780,Growth,2025-12-01,79,79.0,42.0,Late Payment,0.00
