month,channel,spend
2024-01-01,Organic,64615
2024-02-01,LinkedIn,60352
2024-03-01,Google Ads,40656
2024-04-01,Google Ads,52464
2024-05-01,Organic,41914
2024-06-01,Partner,36048
2024-07-01,Google Ads,43491
2024-08-01,Google Ads,72195
2024-09-01,LinkedIn,75438
2024-10-01,LinkedIn,48130
2024-11-01,Google Ads,52976
2024-12-01,Google Ads,52987
2025-01-01,Organic,32504
2025-02-01,Partner,25901
2025-03-01,LinkedIn,79361
2025-04-01,Google Ads,37788
2025-05-01,LinkedIn,49260
2025-06-01,Partner,62347
2025-07-01,Partner,37920
2025-08-01,Organic,53158
2025-09-01,Google Ads,38673
2025-10-01,Organic,77004
2025-11-01,Google Ads,52290
2025-12-01,Organic,77592
2026-01-01,Partner,48312
2026-02-01,Google Ads,58869
2026-03-01,Organic,71499
2026-04-01,LinkedIn,49600
2026-05-01,Organic,21828
2026-06-01,LinkedIn,56540
