month,channel,spend
2024-01-01,Organic,45341
2024-01-01,Partner,28837
2024-01-01,Google Ads,69875
2024-02-01,Google Ads,54823
2024-02-01,Organic,74588
2024-03-01,LinkedIn,66142
2024-03-01,Organic,25504
2024-03-01,Partner,24524
2024-04-01,Google Ads,28861
2024-04-01,Organic,74245
2024-04-01,Partner,26689
2024-05-01,Google Ads,81833
2024-05-01,Organic,28295
2024-06-01,LinkedIn,41167
2024-06-01,Partner,53365
2024-06-01,Google Ads,19545
2024-06-01,Organic,55280
2024-07-01,LinkedIn,68849
2024-07-01,Google Ads,33151
2024-08-01,Partner,81021
2024-08-01,Google Ads,28356
2024-08-01,Organic,27763
2024-09-01,Google Ads,20773
2024-09-01,LinkedIn,22348
2024-10-01,Partner,25531
2024-10-01,LinkedIn,38042
2024-10-01,Organic,27112
2024-11-01,Partner,40304
2024-11-01,Organic,73027
2024-11-01,LinkedIn,58096
2024-12-01,Organic,31959
2024-12-01,LinkedIn,31855
2024-12-01,Partner,62493
2025-01-01,LinkedIn,47767
2025-01-01,Organic,59650
2025-02-01,Google Ads,33094
2025-02-01,LinkedIn,78281
2025-02-01,Organic,46502
2025-03-01,Google Ads,50519
2025-03-01,LinkedIn,36752
2025-03-01,Partner,83734
2025-04-01,Partner,59225
2025-04-01,LinkedIn,54869
2025-05-01,LinkedIn,76210
2025-05-01,Google Ads,15528
2025-05-01,Partner,48467
2025-05-01,Organic,37975
2025-06-01,Google Ads,61062
2025-06-01,Partner,80679
2025-06-01,Organic,41846
2025-07-01,LinkedIn,40456
2025-07-01,Organic,74193
2025-07-01,Google Ads,42482
2025-08-01,Google Ads,29821
2025-08-01,LinkedIn,54734
2025-08-01,Partner,80615
2025-09-01,Partner,17582
2025-09-01,Google Ads,81907
2025-09-01,LinkedIn,71359
2025-09-01,Organic,66661
2025-10-01,Google Ads,65015
2025-10-01,Organic,18985
2025-11-01,Google Ads,76712
2025-11-01,LinkedIn,33646
2025-11-01,Partner,19264
2025-12-01,LinkedIn,60893
2025-12-01,Google Ads,73002
2025-12-01,Partner,49877
2025-12-01,Organic,47456
2026-01-01,Organic,84714
2026-01-01,Google Ads,29932
2026-02-01,Google Ads,63935
2026-02-01,Organic,84257
2026-02-01,LinkedIn,68955
2026-03-01,Organic,69182
2026-03-01,Partner,41195
2026-03-01,LinkedIn,60461
2026-04-01,Google Ads,40739
2026-04-01,Organic,53056
2026-04-01,Partner,36478
2026-04-01,LinkedIn,80157
2026-05-01,Google Ads,80615
2026-05-01,LinkedIn,55462
2026-06-01,Google Ads,29462
2026-06-01,LinkedIn,55999
2026-06-01,Partner,48320
