invoice_id,subscription_id,customer_id,invoice_month,invoice_amount,billing_status
1,14,14,2024-01-01 00:00:00,29,billed
2,14,14,2024-02-01 00:00:00,29,billed
3,14,14,2024-03-01 00:00:00,29,billed
4,14,14,2024-04-01 00:00:00,29,billed
5,14,14,2024-05-01 00:00:00,29,billed
6,14,14,2024-06-01 00:00:00,29,billed
7,14,14,2024-07-01 00:00:00,29,billed
8,14,14,2024-08-01 00:00:00,29,billed
9,14,14,2024-09-01 00:00:00,29,billed
10,14,14,2024-10-01 00:00:00,29,billed
11,14,14,2024-11-01 00:00:00,29,billed
12,14,14,2024-12-01 00:00:00,29,billed
13,14,14,2025-01-01 00:00:00,29,billed
14,14,14,2025-02-01 00:00:00,29,billed
15,14,14,2025-03-01 00:00:00,29,billed
16,14,14,2025-04-01 00:00:00,29,billed
17,14,14,2025-05-01 00:00:00,29,billed
18,14,14,2025-06-01 00:00:00,29,billed
19,14,14,2025-07-01 00:00:00,29,billed
20,14,14,2025-08-01 00:00:00,29,billed
21,14,14,2025-09-01 00:00:00,29,billed
22,14,14,2025-10-01 00:00:00,29,billed
23,14,14,2025-11-01 00:00:00,29,billed
24,14,14,2025-12-01 00:00:00,29,billed
25,14,14,2026-01-01 00:00:00,29,billed
26,14,14,2026-02-01 00:00:00,29,billed
27,14,14,2026-03-01 00:00:00,29,billed
28,14,14,2026-04-01 00:00:00,29,billed
29,14,14,2026-05-01 00:00:00,29,billed
30,14,14,2026-06-01 00:00:00,29,billed
31,19,19,2024-01-01 00:00:00,29,billed
32,19,19,2024-02-01 00:00:00,29,billed
33,19,19,2024-03-01 00:00:00,29,billed
34,19,19,2024-04-01 00:00:00,29,billed
35,19,19,2024-05-01 00:00:00,29,billed
37,19,19,2024-07-01 00:00:00,29,billed
38,19,19,2024-08-01 00:00:00,29,billed
39,19,19,2024-09-01 00:00:00,29,billed
40,19,19,2024-10-01 00:00:00,29,billed
41,19,19,2024-11-01 00:00:00,29,billed
42,19,19,2024-12-01 00:00:00,29,billed
43,19,19,2025-01-01 00:00:00,29,billed
44,19,19,2025-02-01 00:00:00,29,billed
45,19,19,2025-03-01 00:00:00,29,billed
46,19,19,2025-04-01 00:00:00,29,billed
47,19,19,2025-05-01 00:00:00,29,billed
48,19,19,2025-06-01 00:00:00,29,billed
49,19,19,2025-07-01 00:00:00,29,billed
50,19,19,2025-08-01 00:00:00,29,billed
51,19,19,2025-09-01 00:00:00,29,billed
52,19,19,2025-10-01 00:00:00,29,billed
53,19,19,2025-11-01 00:00:00,29,billed
54,19,19,2025-12-01 00:00:00,29,billed
55,19,19,2026-01-01 00:00:00,29,billed
56,19,19,2026-02-01 00:00:00,29,billed
57,19,19,2026-03-01 00:00:00,29,billed
58,19,19,2026-04-01 00:00:00,29,billed
59,19,19,2026-05-01 00:00:00,29,billed
60,19,19,2026-06-01 00:00:00,29,billed
61,21,21,2025-06-01 00:00:00,79,billed
62,21,21,2025-07-01 00:00:00,79,billed
63,21,21,2025-08-01 00:00:00,79,billed
64,21,21,2025-09-01 00:00:00,79,billed
65,21,21,2025-10-01 00:00:00,79,billed
66,21,21,2025-11-01 00:00:00,79,billed
67,21,21,2025-12-01 00:00:00,79,billed
68,21,21,2026-01-01 00:00:00,79,billed
69,21,21,2026-02-01 00:00:00,79,billed
70,21,21,2026-03-01 00:00:00,79,billed
71,21,21,2026-04-01 00:00:00,79,billed
72,21,21,2026-05-01 00:00:00,79,billed
73,21,21,2026-06-01 00:00:00,79,billed
74,24,24,2026-02-01 00:00:00,79,billed
75,24,24,2026-03-01 00:00:00,79,billed
76,24,24,2026-04-01 00:00:00,79,billed
77,24,24,2026-05-01 00:00:00,79,billed
78,24,24,2026-06-01 00:00:00,79,billed
79,41,41,2025-05-01 00:00:00,79,billed
80,41,41,2025-06-01 00:00:00,79,billed
81,41,41,2025-07-01 00:00:00,79,billed
82,41,41,2025-08-01 00:00:00,79,billed
83,41,41,2025-09-01 00:00:00,79,billed
84,41,41,2025-10-01 00:00:00,79,billed
85,41,41,2025-11-01 00:00:00,79,billed
86,41,41,2025-12-01 00:00:00,79,billed
87,41,41,2026-01-01 00:00:00,79,billed
88,41,41,2026-02-01 00:00:00,79,billed
89,41,41,2026-03-01 00:00:00,79,billed
91,41,41,2026-05-01 00:00:00,79,billed
92,41,41,2026-06-01 00:00:00,79,billed
93,48,48,2025-08-01 00:00:00,29,billed
94,48,48,2025-09-01 00:00:00,29,billed
95,48,48,2025-10-01 00:00:00,29,billed
96,48,48,2025-11-01 00:00:00,29,billed
97,48,48,2025-12-01 00:00:00,29,billed
98,48,48,2026-01-01 00:00:00,29,billed
99,48,48,2026-02-01 00:00:00,29,billed
100,48,48,2026-03-01 00:00:00,29,billed
101,48,48,2026-04-01 00:00:00,29,billed
102,48,48,2026-05-01 00:00:00,29,billed
103,48,48,2026-06-01 00:00:00,39,billed
104,54,54,2024-01-01 00:00:00,79,billed
105,54,54,2024-02-01 00:00:00,79,billed
106,54,54,2024-03-01 00:00:00,89,billed
107,54,54,2024-04-01 00:00:00,79,billed
108,54,54,2024-05-01 00:00:00,79,billed
109,54,54,2024-06-01 00:00:00,79,billed
110,54,54,2024-07-01 00:00:00,79,billed
111,54,54,2024-08-01 00:00:00,79,billed
112,54,54,2024-09-01 00:00:00,79,billed
113,54,54,2024-10-01 00:00:00,79,billed
114,54,54,2024-11-01 00:00:00,79,billed
115,54,54,2024-12-01 00:00:00,79,billed
116,54,54,2025-01-01 00:00:00,79,billed
117,54,54,2025-02-01 00:00:00,79,billed
118,54,54,2025-03-01 00:00:00,89,billed
119,54,54,2025-04-01 00:00:00,79,billed
120,54,54,2025-05-01 00:00:00,79,billed
121,54,54,2025-06-01 00:00:00,79,billed
122,54,54,2025-07-01 00:00:00,79,billed
123,54,54,2025-08-01 00:00:00,79,billed
124,54,54,2025-09-01 00:00:00,79,billed
125,54,54,2025-10-01 00:00:00,79,billed
126,54,54,2025-11-01 00:00:00,89,billed
127,54,54,2025-12-01 00:00:00,79,billed
128,54,54,2026-01-01 00:00:00,79,billed
129,54,54,2026-02-01 00:00:00,79,billed
130,54,54,2026-03-01 00:00:00,79,billed
131,54,54,2026-04-01 00:00:00,79,billed
132,54,54,2026-05-01 00:00:00,79,billed
133,54,54,2026-06-01 00:00:00,79,billed
134,58,58,2025-05-01 00:00:00,29,billed
