customer_id,variant
1,treatment
2,treatment
3,treatment
4,treatment
5,control
6,control
7,treatment
8,treatment
9,control
10,control
11,treatment
12,control
13,treatment
14,treatment
15,treatment
16,control
17,treatment
18,treatment
19,control
20,control
21,treatment
22,control
23,treatment
24,treatment
25,control
26,treatment
27,treatment
28,control
29,control
30,control
31,treatment
32,control
33,control
34,control
35,treatment
36,treatment
37,treatment
38,control
39,control
40,treatment
41,control
42,treatment
43,control
44,control
45,treatment
46,control
47,control
48,treatment
49,treatment
50,control
51,treatment
52,control
53,control
54,control
55,treatment
56,control
57,treatment
58,treatment
59,treatment
60,treatment
61,control
62,control
63,control
64,control
65,treatment
66,treatment
67,control
68,treatment
69,control
70,control
71,control
72,treatment
73,treatment
74,control
75,treatment
76,treatment
77,control
78,treatment
79,control
80,treatment
81,control
82,treatment
83,treatment
84,control
85,control
86,control
87,control
88,treatment
89,treatment
90,control
91,control
92,control
93,control
94,treatment
95,control
96,control
97,control
98,control
99,control
100,control
101,control
102,treatment
103,control
104,treatment
105,control
106,control
107,control
108,control
109,control
110,treatment
111,control
112,control
113,treatment
114,treatment
115,treatment
116,control
117,treatment
118,treatment
119,control
120,treatment
121,treatment
122,treatment
123,control
124,treatment
125,control
126,treatment
127,control
128,treatment
129,treatment
130,treatment
131,control
132,control
133,treatment
134,control
135,treatment
136,treatment
137,control
138,control
139,control
140,control
141,treatment
142,control
143,control
144,treatment
145,control
146,treatment
147,control
148,control
149,control
150,control
151,treatment
152,treatment
153,treatment
154,control
155,treatment
156,control
157,treatment
158,control
159,control
160,treatment
161,treatment
162,treatment
163,treatment
164,treatment
165,treatment
166,treatment
167,treatment
168,treatment
169,treatment
170,treatment
171,control
172,treatment
173,control
174,treatment
175,treatment
176,treatment
177,control
178,treatment
179,control
180,control
181,treatment
182,treatment
183,treatment
184,treatment
185,control
186,control
187,treatment
188,treatment
189,treatment
190,treatment
191,treatment
192,treatment
193,control
194,control
195,treatment
196,treatment
197,treatment
198,control
199,control
200,control
201,treatment
