customer_id,variant
3,treatment
4,control
6,control
7,treatment
8,treatment
10,control
11,control
12,control
14,treatment
15,control
16,control
17,control
18,control
19,treatment
20,treatment
22,control
23,control
24,control
25,treatment
29,control
30,control
31,control
33,treatment
35,treatment
37,treatment
38,treatment
39,control
42,treatment
43,control
44,control
45,control
46,control
48,control
49,treatment
52,control
53,treatment
54,control
55,control
56,control
57,treatment
59,control
60,treatment
61,control
62,control
63,control
66,control
69,control
70,treatment
72,control
73,treatment
74,treatment
76,control
77,control
80,control
82,control
83,treatment
84,treatment
85,treatment
86,treatment
87,treatment
89,control
90,treatment
91,control
92,treatment
93,treatment
94,treatment
96,control
99,control
101,control
105,control
106,control
107,control
108,control
109,control
110,control
111,treatment
112,treatment
113,control
114,control
115,treatment
116,treatment
118,treatment
120,control
122,control
123,control
126,control
131,treatment
132,treatment
135,treatment
136,treatment
137,treatment
140,control
142,treatment
143,control
144,control
145,control
146,treatment
147,control
148,control
150,control
151,treatment
152,control
154,treatment
155,treatment
156,control
158,control
159,treatment
160,treatment
161,control
162,treatment
163,treatment
164,control
165,control
167,control
168,control
169,control
170,treatment
171,control
172,control
173,control
174,control
175,treatment
176,control
177,treatment
178,control
179,treatment
182,control
183,treatment
185,control
188,control
190,treatment
191,control
192,treatment
193,treatment
194,control
195,control
196,control
198,treatment
199,control
200,control
201,control
203,treatment
204,control
206,control
211,control
212,treatment
213,control
215,control
216,treatment
217,treatment
220,control
221,treatment
223,control
224,control
226,control
228,control
229,treatment
230,control
231,treatment
232,treatment
234,control
235,control
236,treatment
237,control
238,treatment
239,control
240,control
241,control
243,control
244,treatment
246,control
247,control
248,treatment
251,control
253,treatment
254,treatment
255,control
257,control
258,control
259,control
264,treatment
265,control
266,treatment
267,control
268,control
269,control
271,control
274,control
275,control
278,control
279,treatment
280,control
281,control
284,treatment
285,control
286,treatment
288,control
289,control
291,treatment
293,control
296,control
299,control
300,control
301,treatment
302,control
303,control
305,control
306,treatment
307,control
308,control
309,control
311,control
315,control
316,control
319,control
320,treatment
324,control
326,control
329,control
330,control
331,treatment
332,control
333,control
334,control
335,control
337,control
339,treatment
341,treatment
342,control
345,treatment
346,treatment
348,control
349,control
351,control
354,control
356,control
357,treatment
358,treatment
359,treatment
360,control
362,treatment
363,treatment
364,control
366,control
367,treatment
368,treatment
371,control
372,control
374,treatment
376,control
377,treatment
378,control
379,control
380,control
382,control
385,control
386,treatment
387,control
388,control
389,control
390,control
391,control
392,treatment
395,control
396,treatment
398,control
400,control
401,control
403,treatment
404,control
405,control
409,treatment
410,control
411,control
412,control
413,control
414,treatment
415,treatment
416,treatment
417,treatment
420,treatment
421,control
422,control
424,treatment
425,control
426,control
427,treatment
428,treatment
429,control
430,control
431,treatment
432,control
433,treatment
434,treatment
435,treatment
436,treatment
438,treatment
439,control
440,control
441,control
442,treatment
444,control
445,control
446,control
447,control
450,control
451,control
454,treatment
456,treatment
457,treatment
458,control
459,treatment
460,control
461,treatment
463,control
464,treatment
465,treatment
466,control
467,control
469,treatment
471,control
472,control
473,control
474,control
476,control
477,control
478,control
481,control
482,treatment
484,treatment
485,control
486,control
487,control
488,control
490,control
491,control
492,control
494,control
495,control
497,control
499,treatment
502,control
504,control
506,control
508,control
509,control
510,control
511,control
512,control
514,control
515,treatment
516,control
517,treatment
519,control
521,treatment
522,control
525,control
526,control
528,treatment
529,control
530,control
531,control
532,treatment
533,control
534,treatment
535,control
536,control
537,control
538,treatment
539,treatment
540,control
541,treatment
542,control
545,control
547,control
548,control
549,treatment
550,control
551,treatment
552,control
554,control
556,control
557,control
559,treatment
560,control
561,treatment
562,treatment
563,treatment
566,treatment
567,control
568,control
569,control
570,treatment
573,control
574,treatment
579,treatment
580,control
581,treatment
583,treatment
585,control
586,treatment
588,control
590,treatment
591,control
592,control
593,treatment
594,control
595,treatment
596,control
597,control
600,treatment
601,treatment
602,control
603,treatment
604,control
606,control
607,control
608,control
612,control
613,treatment
614,control
615,control
619,control
620,control
621,control
623,control
625,treatment
627,treatment
628,control
629,treatment
631,control
633,treatment
634,control
635,control
636,control
637,treatment
639,treatment
640,control
641,control
642,control
643,treatment
644,treatment
645,control
647,control
648,treatment
650,control
652,control
653,treatment
654,treatment
655,control
656,control
657,control
658,treatment
659,control
660,control
662,control
663,treatment
664,treatment
666,control
667,treatment
669,control
671,control
672,control
673,treatment
675,control
676,treatment
677,control
679,treatment
681,control
682,treatment
683,control
684,treatment
686,treatment
687,control
688,treatment
689,treatment
690,treatment
691,control
692,control
693,control
696,control
697,control
698,control
699,control
701,control
702,control
703,control
704,treatment
706,control
707,treatment
708,control
710,treatment
711,control
712,control
713,treatment
715,treatment
716,control
717,control
718,control
719,treatment
721,treatment
722,control
723,treatment
724,control
725,control
727,control
728,treatment
729,control
730,treatment
734,control
735,treatment
738,treatment
739,control
740,treatment
742,control
745,treatment
747,treatment
748,control
750,control
753,control
754,control
755,treatment
756,treatment
757,treatment
758,control
759,treatment
760,control
761,control
763,control
764,control
765,treatment
769,treatment
770,treatment
773,treatment
774,treatment
775,treatment
776,control
777,treatment
779,control
780,treatment
781,control
784,control
786,control
787,control
788,control
790,control
793,treatment
795,treatment
796,treatment
801,treatment
803,control
804,control
805,control
807,control
808,control
811,control
813,control
814,treatment
815,treatment
816,control
818,control
819,control
820,control
821,control
822,control
823,treatment
824,control
825,control
826,control
827,treatment
828,control
829,control
830,treatment
831,control
832,treatment
833,control
835,treatment
836,treatment
837,control
838,treatment
840,control
841,control
843,control
845,control
846,treatment
848,control
849,control
851,treatment
853,control
856,control
857,control
858,treatment
859,treatment
860,control
861,treatment
862,control
864,control
865,treatment
866,control
869,treatment
870,control
871,treatment
872,control
874,control
875,treatment
877,control
878,control
879,control
880,treatment
882,treatment
883,treatment
884,treatment
886,control
887,treatment
888,treatment
889,control
890,treatment
891,treatment
892,control
894,treatment
895,control
896,control
897,treatment
899,treatment
900,treatment
901,control
902,control
903,control
906,control
907,treatment
911,control
915,control
916,control
917,control
919,control
920,control
921,control
923,control
924,treatment
925,treatment
926,control
927,control
928,control
929,control
930,control
932,control
933,control
934,treatment
935,control
936,control
939,treatment
940,control
941,treatment
942,control
943,treatment
944,treatment
945,treatment
946,control
947,control
948,control
949,control
950,treatment
952,control
953,treatment
956,control
958,treatment
959,control
960,control
961,control
962,control
963,control
965,treatment
966,treatment
967,treatment
968,treatment
971,control
972,treatment
973,treatment
975,control
976,treatment
978,control
980,treatment
982,control
984,control
985,treatment
986,treatment
987,treatment
988,treatment
990,control
992,control
995,control
996,treatment
1000,control
1001,treatment
1002,control
1003,treatment
1007,treatment
1008,control
1009,control
1010,control
1011,control
1012,treatment
1013,control
1014,control
1015,treatment
1016,treatment
1017,treatment
1018,treatment
1019,control
1021,control
1022,control
1023,control
1024,treatment
1026,control
1027,control
1028,control
1029,treatment
1030,control
1032,treatment
1034,treatment
1035,treatment
1036,treatment
1037,control
1038,treatment
1039,control
1040,control
1041,control
1042,treatment
1043,control
1045,control
1046,treatment
1047,control
1048,control
1052,treatment
1053,control
1055,control
1056,treatment
1057,control
1059,control
1060,control
1061,control
1064,control
1065,treatment
1066,control
1067,control
1069,treatment
1073,control
1075,control
1076,control
1077,treatment
1080,control
1082,treatment
1084,treatment
1086,treatment
1088,control
1089,control
1090,control
1091,treatment
1093,control
1095,treatment
1096,control
1098,treatment
1100,treatment
1101,control
1102,control
1103,treatment
1105,control
1106,control
1107,control
1108,control
1110,control
1112,control
1113,control
1115,control
1116,control
1117,control
1119,control
1120,control
1121,control
1122,control
1123,control
1125,treatment
1126,control
1129,treatment
1130,treatment
1132,treatment
1133,control
1134,control
1136,treatment
1137,treatment
1139,control
1140,treatment
1141,control
1142,treatment
1144,treatment
1146,treatment
1147,control
1148,control
1149,treatment
1150,treatment
1151,control
1152,control
1154,control
1155,control
1156,control
1157,control
1160,control
1161,control
1162,control
1164,control
1166,control
1167,treatment
1169,treatment
1170,treatment
1173,treatment
1175,treatment
1176,control
1178,control
1180,control
1181,control
1182,treatment
1183,control
1184,control
1185,control
1186,control
1187,treatment
1188,control
1189,treatment
1190,treatment
1191,treatment
1192,control
1198,control
1201,treatment
1202,control
1203,control
1204,treatment
1205,control
1207,treatment
1208,control
1209,control
1210,control
1211,treatment
1213,control
1217,control
1218,treatment
1221,treatment
1222,treatment
1224,treatment
1225,treatment
1226,control
1227,control
1228,control
1229,treatment
1230,control
1231,treatment
1234,control
1235,treatment
1236,control
1237,control
1238,control
1242,control
1243,treatment
1245,treatment
1247,control
1249,control
1252,treatment
1253,treatment
1255,treatment
1256,treatment
1257,treatment
1258,treatment
1260,treatment
1261,control
1263,treatment
1269,control
1273,treatment
1274,control
1275,treatment
1278,control
1279,control
1282,treatment
1283,treatment
1284,control
1286,treatment
1287,control
1290,treatment
1292,treatment
1293,control
1294,treatment
1295,treatment
1296,control
1297,control
1298,control
1299,control
1302,control
1303,treatment
1306,control
1310,control
1311,control
1312,treatment
1313,control
1314,control
1316,control
1317,control
1319,treatment
1320,control
1324,control
1325,treatment
1327,control
1328,control
1329,treatment
1330,control
1331,control
1333,control
1334,treatment
1335,control
1336,treatment
1337,treatment
1338,treatment
1340,treatment
1341,treatment
1342,treatment
1346,treatment
1349,control
1352,control
1354,control
1356,treatment
1358,treatment
1359,control
1360,control
1361,treatment
1362,control
1364,treatment
1365,control
1366,control
1369,control
1370,control
1371,treatment
1372,control
1373,control
1374,control
1375,control
1376,control
