payment_id,invoice_id,customer_id,payment_date,payment_amount,payment_status,days_to_pay,payment_method
1,1,14,2024-01-31,29.0,paid,30.0,ach
2,2,14,2024-02-09,29.0,paid,8.0,ach
3,3,14,2024-03-12,29.0,paid,11.0,ach
4,4,14,2024-04-09,29.0,paid,8.0,ach
5,5,14,2024-06-04,29.0,late_paid,34.0,ach
6,6,14,2024-06-20,29.0,paid,19.0,card
7,7,14,2024-07-27,29.0,paid,26.0,card
8,8,14,2024-08-06,29.0,paid,5.0,card
9,9,14,2024-09-06,29.0,paid,5.0,wire
10,10,14,2024-10-07,29.0,paid,6.0,card
11,11,14,2024-11-17,29.0,paid,16.0,card
12,12,14,2024-12-21,29.0,paid,20.0,card
13,13,14,2025-01-22,29.0,paid,21.0,card
14,14,14,2025-02-20,29.0,paid,19.0,wire
15,15,14,2025-03-15,29.0,paid,14.0,card
16,16,14,2025-04-17,29.0,paid,16.0,ach
17,17,14,2025-05-21,29.0,paid,20.0,ach
18,18,14,,0.0,unpaid,,
19,19,14,2025-07-31,29.0,paid,30.0,card
20,20,14,2025-08-14,29.0,paid,13.0,card
21,21,14,2025-09-10,29.0,paid,9.0,card
22,22,14,2025-10-12,29.0,paid,11.0,ach
23,23,14,2025-11-12,29.0,paid,11.0,card
24,24,14,2025-12-26,29.0,paid,25.0,card
25,25,14,2026-01-10,29.0,paid,9.0,card
26,26,14,2026-02-10,29.0,paid,9.0,card
27,27,14,2026-03-13,29.0,paid,12.0,wire
28,28,14,,0.0,unpaid,,
29,29,14,2026-05-11,29.0,paid,10.0,ach
30,30,14,2026-06-16,29.0,paid,15.0,card
31,31,19,2024-01-07,29.0,paid,6.0,ach
32,32,19,2024-02-08,29.0,paid,7.0,card
33,33,19,2024-03-23,29.0,paid,22.0,wire
34,34,19,2024-04-29,29.0,paid,28.0,card
35,35,19,2024-05-21,29.0,paid,20.0,card
36,37,19,2024-07-09,29.0,paid,8.0,card
37,38,19,2024-08-09,29.0,paid,8.0,card
38,39,19,2024-09-25,29.0,paid,24.0,card
39,40,19,2024-10-26,29.0,paid,25.0,card
40,41,19,2024-11-06,29.0,paid,5.0,card
41,42,19,2024-12-27,29.0,paid,26.0,card
42,43,19,2025-01-13,29.0,paid,12.0,card
43,44,19,2025-02-04,29.0,paid,3.0,ach
44,45,19,2025-03-06,29.0,paid,5.0,card
45,46,19,2025-04-12,29.0,paid,11.0,ach
46,47,19,2025-05-27,29.0,paid,26.0,wire
47,48,19,2025-06-25,29.0,paid,24.0,ach
48,49,19,2025-07-20,29.0,paid,19.0,card
49,50,19,2025-08-19,29.0,paid,18.0,wire
50,51,19,2025-09-22,29.0,paid,21.0,card
51,52,19,2025-10-25,29.0,paid,24.0,card
52,53,19,,0.0,unpaid,,
53,54,19,2025-12-02,29.0,paid,1.0,ach
54,55,19,2026-01-21,29.0,paid,20.0,card
55,56,19,2026-02-08,29.0,paid,7.0,card
56,57,19,2026-03-27,29.0,paid,26.0,card
57,58,19,2026-04-14,29.0,paid,13.0,card
58,59,19,2026-05-15,29.0,paid,14.0,ach
59,60,19,2026-06-30,29.0,paid,29.0,ach
60,61,21,2025-07-14,79.0,late_paid,43.0,wire
61,62,21,2025-07-24,79.0,paid,23.0,card
62,63,21,2025-08-04,79.0,paid,3.0,wire
63,64,21,2025-09-30,79.0,paid,29.0,card
64,65,21,2025-10-24,79.0,paid,23.0,ach
65,66,21,2025-12-01,79.0,paid,30.0,ach
66,67,21,2025-12-17,79.0,paid,16.0,wire
67,68,21,2026-01-12,79.0,paid,11.0,ach
68,69,21,2026-02-05,79.0,paid,4.0,ach
69,70,21,,0.0,unpaid,,
70,71,21,2026-04-22,79.0,paid,21.0,wire
71,72,21,2026-05-10,79.0,paid,9.0,card
72,73,21,2026-06-16,79.0,paid,15.0,card
73,74,24,2026-02-04,79.0,paid,3.0,card
74,75,24,2026-03-17,79.0,paid,16.0,card
75,76,24,,0.0,unpaid,,
76,77,24,2026-05-31,79.0,paid,30.0,wire
77,78,24,2026-06-25,79.0,paid,24.0,wire
78,79,41,2025-05-14,79.0,paid,13.0,card
79,80,41,2025-06-18,79.0,paid,17.0,card
80,81,41,2025-07-17,79.0,paid,16.0,card
81,82,41,2025-08-17,79.0,paid,16.0,card
82,83,41,2025-09-26,79.0,paid,25.0,wire
83,84,41,2025-10-22,79.0,paid,21.0,card
84,85,41,2025-11-05,79.0,paid,4.0,ach
85,86,41,,0.0,unpaid,,
86,87,41,2026-02-06,79.0,late_paid,36.0,wire
87,88,41,2026-02-22,79.0,paid,21.0,card
88,89,41,2026-03-03,79.0,paid,2.0,card
89,91,41,2026-05-13,79.0,paid,12.0,ach
90,92,41,2026-06-28,79.0,paid,27.0,ach
91,93,48,2025-08-20,29.0,paid,19.0,wire
92,94,48,2025-09-09,29.0,paid,8.0,ach
93,95,48,2025-10-20,29.0,paid,19.0,card
94,96,48,2025-11-19,29.0,paid,18.0,card
95,97,48,2025-12-26,29.0,paid,25.0,card
96,98,48,2026-01-15,29.0,paid,14.0,card
97,99,48,2026-02-02,29.0,paid,1.0,card
98,100,48,2026-04-14,29.0,late_paid,44.0,card
99,101,48,2026-05-09,29.0,late_paid,38.0,ach
100,102,48,2026-05-30,29.0,paid,29.0,wire
101,103,48,2026-06-10,39.0,paid,9.0,ach
102,104,54,2024-01-18,79.0,paid,17.0,wire
103,105,54,2024-02-07,79.0,paid,6.0,wire
104,106,54,2024-03-24,89.0,paid,23.0,card
105,107,54,2024-04-07,79.0,paid,6.0,card
106,108,54,2024-05-07,79.0,paid,6.0,card
107,109,54,2024-07-01,79.0,paid,30.0,wire
108,110,54,2024-07-28,79.0,paid,27.0,wire
109,111,54,2024-09-09,79.0,late_paid,39.0,card
110,112,54,2024-09-20,79.0,paid,19.0,ach
111,113,54,2024-10-14,79.0,paid,13.0,card
112,114,54,2024-11-30,79.0,paid,29.0,wire
113,115,54,2024-12-04,79.0,paid,3.0,ach
114,116,54,2025-01-15,79.0,paid,14.0,wire
115,117,54,2025-02-11,79.0,paid,10.0,wire
116,118,54,2025-03-14,89.0,paid,13.0,card
117,119,54,2025-05-01,79.0,paid,30.0,ach
118,120,54,2025-05-18,79.0,paid,17.0,wire
119,121,54,2025-06-07,79.0,paid,6.0,wire
120,122,54,2025-07-28,79.0,paid,27.0,ach
121,123,54,2025-08-19,79.0,paid,18.0,ach
122,124,54,2025-10-01,79.0,paid,30.0,ach
123,125,54,2025-11-01,79.0,late_paid,31.0,ach
124,126,54,2025-11-24,89.0,paid,23.0,card
125,127,54,,0.0,unpaid,,
126,128,54,2026-01-25,79.0,paid,24.0,card
127,129,54,2026-02-03,79.0,paid,2.0,card
128,130,54,2026-03-12,79.0,paid,11.0,ach
129,131,54,2026-05-13,79.0,late_paid,42.0,card
130,132,54,2026-05-29,79.0,paid,28.0,ach
131,133,54,2026-06-26,79.0,paid,25.0,wire
132,134,58,2025-05-03,29.0,paid,2.0,card
133,135,58,2025-06-15,29.0,paid,14.0,ach
134,136,58,2025-07-10,29.0,paid,9.0,card
135,137,58,2025-08-31,29.0,paid,30.0,wire
136,138,58,,0.0,unpaid,,
137,139,58,2025-10-16,29.0,paid,15.0,card
138,140,58,2025-11-29,29.0,paid,28.0,card
139,141,58,2025-12-14,29.0,paid,13.0,card
140,142,58,2026-02-04,29.0,late_paid,34.0,card
141,143,58,2026-03-02,29.0,paid,29.0,card
142,144,58,2026-03-04,29.0,paid,3.0,card
143,145,58,2026-04-05,29.0,paid,4.0,wire
144,146,58,2026-05-19,29.0,paid,18.0,card
145,147,58,2026-06-12,29.0,paid,11.0,wire
146,148,66,2024-05-18,199.0,paid,17.0,wire
147,149,66,2024-06-21,199.0,paid,20.0,card
148,150,66,2024-07-09,199.0,paid,8.0,card
149,151,66,2024-08-24,199.0,paid,23.0,card
150,152,66,,0.0,unpaid,,
151,153,66,2024-10-07,199.0,paid,6.0,card
152,154,66,2024-11-17,199.0,paid,16.0,card
153,155,66,2024-12-16,199.0,paid,15.0,ach
154,156,66,2025-01-11,199.0,paid,10.0,ach
155,157,66,2025-03-07,199.0,late_paid,34.0,card
156,158,66,2025-03-23,199.0,paid,22.0,wire
157,159,66,2025-04-16,199.0,paid,15.0,card
158,160,66,2025-05-28,189.0,paid,27.0,ach
159,161,66,2025-06-15,199.0,paid,14.0,ach
160,162,66,2025-07-28,199.0,paid,27.0,card
