subscription_id,customer_id,plan_tier,subscription_start,subscription_status
1,1,Growth,2023-04-12,trial_only
2,2,Starter,2025-06-14,trial_only
3,3,Starter,2025-08-02,trial_only
4,4,Starter,2023-06-24,trial_only
5,5,Starter,2024-04-05,trial_only
6,6,Growth,2023-04-07,trial_only
7,7,Starter,2025-11-11,trial_only
8,8,Starter,2023-07-16,trial_only
9,9,Growth,2025-06-03,trial_only
10,10,Growth,2025-09-07,trial_only
11,11,Starter,2024-05-07,trial_only
12,12,Starter,2023-07-17,trial_only
13,13,Growth,2023-07-08,trial_only
14,14,Starter,2023-01-29,active
15,15,Business,2023-03-29,trial_only
16,16,Starter,2024-06-12,trial_only
17,17,Starter,2024-09-08,trial_only
18,18,Growth,2023-12-24,trial_only
19,19,Starter,2023-12-14,active
20,20,Growth,2024-01-05,trial_only
21,21,Growth,2025-05-11,active
22,22,Growth,2023-06-27,trial_only
23,23,Starter,2023-05-11,trial_only
24,24,Growth,2026-01-22,cancelled
25,25,Business,2025-11-12,trial_only
26,26,Starter,2025-11-27,trial_only
27,27,Business,2025-03-16,trial_only
28,28,Growth,2024-07-11,trial_only
29,29,Starter,2024-03-04,trial_only
30,30,Starter,2024-11-27,trial_only
31,31,Business,2024-10-18,trial_only
32,32,Starter,2024-11-14,trial_only
33,33,Starter,2023-02-06,trial_only
34,34,Starter,2025-09-10,trial_only
35,35,Starter,2023-12-11,trial_only
36,36,Business,2025-11-26,trial_only
37,37,Business,2025-07-05,trial_only
38,38,Starter,2025-01-08,trial_only
39,39,Starter,2023-09-24,trial_only
40,40,Business,2023-08-08,trial_only
41,41,Growth,2025-04-26,active
42,42,Starter,2025-03-16,trial_only
43,43,Starter,2026-01-04,trial_only
44,44,Starter,2024-04-24,trial_only
45,45,Starter,2024-02-13,trial_only
46,46,Starter,2025-11-01,trial_only
47,47,Growth,2024-11-05,trial_only
48,48,Starter,2025-07-15,active
49,49,Starter,2024-06-28,trial_only
50,50,Growth,2025-12-09,trial_only
51,51,Starter,2023-03-13,cancelled
52,52,Starter,2024-06-20,trial_only
53,53,Starter,2024-01-11,trial_only
54,54,Growth,2023-09-06,active
55,55,Business,2023-08-26,trial_only
56,56,Starter,2023-12-08,trial_only
57,57,Starter,2026-02-10,trial_only
58,58,Starter,2025-04-30,active
59,59,Growth,2024-05-18,trial_only
60,60,Starter,2024-05-07,trial_only
61,61,Growth,2025-09-26,trial_only
62,62,Growth,2025-03-17,trial_only
63,63,Starter,2024-06-10,trial_only
64,64,Starter,2025-10-24,trial_only
65,65,Growth,2024-02-01,trial_only
66,66,Business,2024-04-11,active
67,67,Growth,2026-03-03,trial_only
68,68,Growth,2023-08-17,trial_only
69,69,Business,2024-08-02,trial_only
70,70,Growth,2025-01-16,trial_only
71,71,Growth,2024-03-29,active
72,72,Starter,2025-02-08,trial_only
73,73,Starter,2024-10-05,trial_only
74,74,Growth,2025-07-06,trial_only
75,75,Starter,2025-12-16,active
76,76,Starter,2024-02-14,trial_only
77,77,Starter,2023-09-19,trial_only
78,78,Growth,2025-07-08,trial_only
79,79,Business,2023-09-20,trial_only
80,80,Growth,2024-09-05,trial_only
81,81,Starter,2025-05-29,trial_only
82,82,Growth,2023-04-09,trial_only
83,83,Starter,2025-02-26,trial_only
84,84,Starter,2023-03-07,trial_only
85,85,Growth,2024-07-18,trial_only
86,86,Starter,2025-02-24,trial_only
87,87,Starter,2025-09-22,trial_only
88,88,Business,2024-04-24,trial_only
89,89,Starter,2024-03-09,trial_only
90,90,Starter,2023-04-12,trial_only
91,91,Starter,2023-10-01,trial_only
92,92,Growth,2023-11-22,trial_only
93,93,Growth,2023-07-07,trial_only
94,94,Business,2025-08-12,trial_only
95,95,Growth,2024-06-03,trial_only
96,96,Starter,2023-12-10,trial_only
97,97,Growth,2023-07-30,trial_only
98,98,Starter,2023-03-18,active
99,99,Starter,2025-11-29,trial_only
100,100,Business,2024-07-30,trial_only
101,101,Starter,2025-06-30,trial_only
102,102,Starter,2025-12-26,cancelled
103,103,Growth,2025-05-08,trial_only
104,104,Starter,2023-02-24,trial_only
105,105,Starter,2025-01-12,trial_only
106,106,Growth,2024-04-16,active
107,107,Starter,2025-06-11,trial_only
108,108,Growth,2025-03-13,trial_only
109,109,Starter,2023-01-17,trial_only
110,110,Starter,2026-02-18,trial_only
111,111,Starter,2023-08-19,trial_only
112,112,Growth,2025-03-02,trial_only
113,113,Starter,2024-11-24,trial_only
114,114,Starter,2024-03-04,trial_only
115,115,Growth,2023-08-13,trial_only
116,116,Starter,2026-01-01,trial_only
117,117,Growth,2023-02-27,trial_only
118,118,Starter,2023-06-02,trial_only
119,119,Business,2024-10-14,trial_only
120,120,Growth,2024-04-28,trial_only
121,121,Starter,2025-01-10,trial_only
122,122,Growth,2023-08-05,trial_only
123,123,Growth,2023-07-26,trial_only
124,124,Starter,2023-05-02,trial_only
125,125,Business,2023-12-08,trial_only
126,126,Starter,2025-02-03,trial_only
127,127,Growth,2024-10-20,trial_only
128,128,Business,2024-01-07,trial_only
129,129,Business,2024-09-01,trial_only
130,130,Growth,2024-05-30,trial_only
131,131,Starter,2024-04-27,active
132,132,Business,2024-06-06,trial_only
133,133,Starter,2023-05-01,trial_only
134,134,Starter,2026-01-09,trial_only
135,135,Growth,2023-07-29,trial_only
136,136,Growth,2023-03-03,trial_only
137,137,Starter,2025-10-20,trial_only
138,138,Starter,2024-07-05,trial_only
139,139,Starter,2025-05-11,trial_only
140,140,Starter,2024-12-24,trial_only
141,141,Starter,2025-04-02,trial_only
142,142,Growth,2024-09-18,trial_only
143,143,Growth,2023-05-10,trial_only
144,144,Growth,2024-11-25,trial_only
145,145,Starter,2024-10-07,active
146,146,Growth,2023-08-22,trial_only
147,147,Starter,2023-07-31,trial_only
148,148,Starter,2024-02-20,trial_only
149,149,Starter,2025-02-02,trial_only
150,150,Starter,2024-11-26,cancelled
151,151,Starter,2023-04-01,trial_only
152,152,Starter,2023-10-29,active
153,153,Business,2025-05-25,trial_only
154,154,Business,2025-01-26,trial_only
155,155,Business,2023-11-05,cancelled
156,156,Growth,2025-04-03,trial_only
157,157,Growth,2025-06-19,trial_only
158,158,Starter,2024-03-04,trial_only
159,159,Growth,2024-03-21,active
160,160,Starter,2026-02-08,cancelled
161,161,Growth,2023-07-05,trial_only
162,162,Growth,2024-07-12,active
163,163,Starter,2025-09-30,trial_only
164,164,Starter,2023-03-28,trial_only
165,165,Starter,2025-11-03,cancelled
166,166,Starter,2024-06-30,active
167,167,Growth,2023-09-11,trial_only
168,168,Business,2024-12-26,trial_only
169,169,Starter,2024-08-14,trial_only
170,170,Growth,2026-02-01,trial_only
171,171,Business,2024-12-28,trial_only
172,172,Starter,2024-10-18,trial_only
173,173,Growth,2024-08-27,trial_only
174,174,Starter,2023-07-24,trial_only
175,175,Growth,2025-04-06,trial_only
176,176,Starter,2025-10-26,trial_only
177,177,Business,2024-10-01,trial_only
178,178,Starter,2024-10-05,trial_only
179,179,Starter,2025-06-22,trial_only
180,180,Starter,2025-12-09,trial_only
181,181,Business,2025-03-09,trial_only
182,182,Starter,2024-11-16,trial_only
183,183,Starter,2025-01-06,active
184,184,Starter,2024-06-24,trial_only
185,185,Growth,2024-07-05,trial_only
186,186,Growth,2025-05-11,trial_only
187,187,Starter,2025-10-07,trial_only
188,188,Growth,2026-02-13,trial_only
189,189,Starter,2025-07-17,active
190,190,Business,2023-07-12,active
191,191,Business,2023-10-18,trial_only
192,192,Starter,2023-11-23,trial_only
193,193,Starter,2025-03-16,trial_only
194,194,Business,2024-12-13,trial_only
195,195,Starter,2023-02-11,cancelled
196,196,Starter,2025-07-16,trial_only
197,197,Business,2024-03-12,trial_only
198,198,Starter,2025-11-18,trial_only
199,199,Starter,2024-05-30,trial_only
200,200,Starter,2025-07-11,trial_only
201,201,Starter,2023-12-06,trial_only
202,202,Starter,2023-10-27,active
203,203,Starter,2026-02-01,trial_only
204,204,Growth,2025-12-19,trial_only
205,205,Starter,2024-05-27,trial_only
206,206,Starter,2025-07-15,trial_only
207,207,Starter,2023-06-09,trial_only
208,208,Business,2025-08-20,trial_only
209,209,Growth,2023-04-07,active
210,210,Starter,2025-09-21,trial_only
211,211,Starter,2026-02-17,trial_only
212,212,Growth,2024-05-17,trial_only
213,213,Growth,2023-04-07,trial_only
214,214,Starter,2023-04-19,active
215,215,Starter,2023-12-24,trial_only
216,216,Starter,2025-03-22,active
217,217,Growth,2024-01-11,trial_only
218,218,Growth,2026-01-09,trial_only
219,219,Business,2024-09-30,active
220,220,Business,2025-06-01,trial_only
221,221,Business,2024-03-19,trial_only
222,222,Starter,2023-07-05,active
223,223,Starter,2024-08-15,trial_only
224,224,Growth,2023-03-24,cancelled
225,225,Growth,2025-12-08,trial_only
226,226,Business,2023-01-16,trial_only
227,227,Starter,2023-06-15,trial_only
228,228,Growth,2025-07-05,active
229,229,Growth,2023-09-30,active
230,230,Business,2025-02-03,trial_only
231,231,Starter,2024-10-04,trial_only
232,232,Starter,2025-03-20,active
233,233,Growth,2023-02-03,trial_only
234,234,Starter,2023-02-19,active
235,235,Starter,2024-01-21,trial_only
236,236,Starter,2024-05-20,trial_only
237,237,Business,2025-04-11,trial_only
238,238,Growth,2023-01-22,trial_only
239,239,Starter,2024-07-17,active
240,240,Starter,2024-01-21,trial_only
241,241,Starter,2025-02-10,trial_only
242,242,Growth,2026-02-27,trial_only
243,243,Growth,2024-08-11,trial_only
244,244,Growth,2024-11-26,active
245,245,Growth,2023-04-13,trial_only
246,246,Business,2024-04-22,trial_only
247,247,Growth,2025-12-22,trial_only
248,248,Growth,2024-05-10,trial_only
249,249,Starter,2025-04-17,trial_only
250,250,Business,2024-06-22,active
251,251,Growth,2023-08-14,trial_only
252,252,Starter,2023-09-16,trial_only
253,253,Growth,2023-09-11,trial_only
254,254,Starter,2025-02-22,trial_only
255,255,Starter,2023-09-07,trial_only
256,256,Starter,2023-07-21,trial_only
257,257,Growth,2024-12-28,trial_only
258,258,Growth,2024-05-26,trial_only
259,259,Growth,2023-07-21,cancelled
260,260,Starter,2025-08-08,active
261,261,Business,2023-11-24,trial_only
262,262,Growth,2025-04-13,trial_only
263,263,Growth,2023-02-06,trial_only
264,264,Business,2023-03-24,trial_only
265,265,Growth,2024-02-11,trial_only
266,266,Starter,2026-01-08,trial_only
267,267,Starter,2025-01-13,trial_only
268,268,Starter,2024-07-09,cancelled
269,269,Growth,2024-08-05,active
270,270,Starter,2025-07-03,trial_only
271,271,Business,2023-08-15,trial_only
272,272,Growth,2023-08-03,trial_only
273,273,Starter,2025-09-28,trial_only
274,274,Starter,2023-07-12,trial_only
275,275,Growth,2025-08-03,trial_only
276,276,Growth,2023-02-28,trial_only
277,277,Business,2023-07-02,trial_only
278,278,Starter,2023-10-29,trial_only
279,279,Growth,2024-12-24,trial_only
280,280,Growth,2023-12-18,trial_only
281,281,Growth,2024-08-23,trial_only
282,282,Starter,2023-07-17,active
283,283,Starter,2023-01-31,trial_only
284,284,Starter,2025-06-20,trial_only
285,285,Starter,2025-05-01,trial_only
286,286,Business,2023-05-05,trial_only
287,287,Starter,2023-11-17,trial_only
288,288,Starter,2025-09-21,trial_only
289,289,Starter,2023-01-21,active
290,290,Starter,2025-05-07,trial_only
291,291,Starter,2024-01-11,active
292,292,Growth,2024-11-01,trial_only
293,293,Growth,2026-02-12,cancelled
294,294,Growth,2026-02-02,trial_only
295,295,Business,2025-09-25,trial_only
296,296,Growth,2025-01-08,trial_only
297,297,Growth,2026-01-24,trial_only
298,298,Starter,2023-05-10,trial_only
299,299,Starter,2023-10-18,active
300,300,Growth,2023-04-05,active
301,301,Growth,2023-07-13,trial_only
302,302,Starter,2024-07-29,trial_only
303,303,Business,2024-06-07,trial_only
304,304,Business,2023-10-02,trial_only
305,305,Business,2023-11-03,trial_only
