customer_id,templates_used,workflows_created,days_active_during_trial,integrations_connected
1,3,1,1,1
2,5,2,10,1
3,3,0,13,3
4,4,1,13,0
5,5,1,7,2
6,5,3,13,1
7,5,6,7,0
8,1,2,9,1
9,5,1,12,2
10,6,1,5,1
11,3,1,13,1
12,3,2,3,3
13,5,2,3,2
14,3,1,13,2
15,4,4,10,0
16,4,2,3,3
17,5,2,4,1
18,3,1,11,3
19,4,2,5,2
20,3,0,7,0
21,4,1,8,0
22,3,1,13,0
23,5,0,9,1
24,4,2,10,0
25,1,2,11,0
26,3,1,4,1
27,5,3,10,1
28,5,1,12,1
29,1,3,6,0
30,3,3,8,1
31,1,0,9,2
32,2,0,13,1
33,1,3,3,1
34,2,2,2,0
35,2,2,2,1
36,6,2,9,2
37,5,0,8,2
38,3,4,12,1
39,0,0,7,1
40,4,6,10,1
41,3,0,3,0
42,3,0,12,3
43,3,0,11,2
44,4,1,11,1
45,4,0,7,1
46,4,2,8,1
47,4,3,12,0
48,7,6,13,0
49,2,1,9,1
50,2,1,10,1
51,2,0,4,1
52,3,1,2,0
53,4,2,2,1
54,5,4,10,1
55,3,3,4,1
56,2,1,1,0
57,5,3,5,1
58,2,2,13,0
59,4,1,3,1
60,5,2,3,1
61,6,2,7,0
62,4,3,3,2
63,2,2,12,0
64,4,2,12,2
65,2,2,7,0
66,0,2,13,3
67,1,5,5,3
68,3,1,1,0
69,6,1,13,2
70,6,0,11,1
71,3,3,5,2
72,3,2,4,0
73,2,2,12,1
74,2,2,6,4
75,6,5,4,2
76,3,3,9,0
77,0,3,3,1
78,2,4,9,0
79,2,2,8,0
80,1,2,8,3
81,4,3,12,2
82,1,2,3,0
83,4,1,11,3
84,4,4,6,2
85,5,3,5,1
86,4,1,12,3
87,4,1,8,2
88,5,2,13,2
89,4,5,7,0
90,1,0,13,0
91,1,3,13,1
92,3,1,6,1
93,2,0,6,1
94,0,7,12,3
95,1,1,9,1
96,5,0,13,2
97,1,1,8,0
98,2,3,11,0
99,3,1,6,2
100,1,0,11,1
101,6,2,2,1
102,0,2,8,0
103,2,1,3,2
104,1,2,6,1
105,5,4,4,0
106,3,1,9,1
107,8,1,8,0
108,4,1,6,1
109,3,1,5,3
110,1,1,4,0
111,3,0,8,1
112,3,5,13,0
113,4,2,5,2
114,2,3,13,0
115,1,4,12,1
116,3,3,11,2
117,2,1,11,0
118,6,1,5,0
119,1,1,9,2
120,5,2,8,1
121,3,2,13,1
122,0,5,8,1
123,1,1,1,1
124,1,3,12,1
125,2,2,13,1
126,4,2,11,1
127,0,3,1,0
128,3,1,9,1
129,5,2,1,2
130,2,1,13,2
131,4,2,1,1
132,2,2,13,1
133,1,6,1,0
134,1,2,9,2
135,1,4,5,2
