customer_id,templates_used,workflows_created,days_active_during_trial,integrations_connected
1,1,0,5,1
2,2,1,3,2
3,1,0,1,0
4,1,1,3,2
5,1,3,6,0
6,1,1,4,1
7,0,0,3,0
8,1,1,6,2
9,0,0,5,1
10,1,1,5,1
11,1,0,4,1
12,1,0,6,1
13,2,1,4,2
14,6,1,12,1
15,3,1,4,1
16,0,1,4,0
17,1,0,2,0
18,0,0,6,0
19,4,2,8,0
20,2,1,4,0
21,3,3,13,1
22,3,1,4,0
23,2,0,6,1
24,6,1,11,2
25,4,0,2,0
26,3,1,1,0
27,1,1,2,0
28,3,3,5,2
29,2,1,5,0
30,1,1,5,0
31,1,0,5,1
32,1,1,3,0
33,3,1,6,2
34,1,1,2,0
35,1,1,3,0
36,0,1,2,1
37,2,0,6,0
38,2,0,5,0
39,1,1,4,1
40,0,2,4,0
41,5,3,11,1
42,0,2,5,2
43,3,3,1,0
44,3,1,6,0
45,1,1,2,0
46,1,1,3,1
47,3,0,2,0
48,3,3,13,1
49,3,0,5,0
50,2,1,6,0
51,3,3,8,2
52,3,0,4,1
53,0,0,2,0
54,2,3,9,2
55,1,3,4,0
56,1,3,6,1
57,2,1,4,1
58,7,5,7,5
59,0,0,4,1
60,3,0,2,0
61,0,0,1,0
62,2,2,4,1
63,1,1,4,0
64,0,0,3,1
65,2,0,3,2
66,6,2,7,3
67,0,0,6,0
68,0,1,4,0
69,3,0,5,2
70,1,2,2,2
71,3,2,12,3
72,0,2,6,0
73,0,1,4,0
74,0,0,5,0
75,5,3,6,2
76,3,2,3,1
77,2,1,3,2
78,2,1,6,0
79,0,0,3,0
80,1,0,4,0
81,1,1,1,0
82,4,1,5,0
83,0,0,6,3
84,1,0,2,0
85,1,3,5,0
86,0,1,4,0
87,2,1,4,1
88,1,3,2,0
89,1,2,4,2
90,1,2,5,1
91,0,0,5,1
92,1,0,5,2
93,0,0,5,0
94,1,2,6,0
95,0,2,5,0
96,2,0,3,0
97,3,0,1,2
98,3,3,8,1
99,1,0,2,0
100,0,0,5,3
101,1,2,1,0
102,4,1,10,0
103,2,1,3,0
104,3,2,1,0
105,1,0,3,1
106,5,3,14,2
107,0,1,4,0
108,1,0,3,0
109,2,0,5,1
110,0,1,6,0
111,0,2,4,0
112,1,1,3,2
113,2,1,5,0
114,0,3,5,2
115,0,1,5,0
116,1,3,5,2
117,0,1,2,2
118,0,2,3,0
119,1,0,3,1
120,4,1,2,0
121,0,2,2,1
122,2,1,4,1
123,1,1,6,1
124,0,1,3,0
125,0,1,4,1
126,0,1,2,1
127,1,1,3,0
