trial_id,customer_id,trial_start,trial_end
1,1,2023-03-28,2023-04-11
2,2,2025-05-30,2025-06-13
3,3,2025-07-18,2025-08-01
4,4,2023-06-09,2023-06-23
5,5,2024-03-21,2024-04-04
6,6,2023-03-23,2023-04-06
7,7,2025-10-27,2025-11-10
8,8,2023-07-01,2023-07-15
9,9,2025-05-19,2025-06-02
10,10,2025-08-23,2025-09-06
11,11,2024-04-22,2024-05-06
12,12,2023-07-02,2023-07-16
13,13,2023-06-23,2023-07-07
14,14,2023-01-14,2023-01-28
15,15,2023-03-14,2023-03-28
16,16,2024-05-28,2024-06-11
17,17,2024-08-24,2024-09-07
18,18,2023-12-09,2023-12-23
19,19,2023-11-29,2023-12-13
20,20,2023-12-21,2024-01-04
21,21,2025-04-26,2025-05-10
22,22,2023-06-12,2023-06-26
23,23,2023-04-26,2023-05-10
24,24,2026-01-07,2026-01-21
25,25,2025-10-28,2025-11-11
26,26,2025-11-12,2025-11-26
27,27,2025-03-01,2025-03-15
28,28,2024-06-26,2024-07-10
29,29,2024-02-18,2024-03-03
30,30,2024-11-12,2024-11-26
31,31,2024-10-03,2024-10-17
32,32,2024-10-30,2024-11-13
33,33,2023-01-22,2023-02-05
34,34,2025-08-26,2025-09-09
35,35,2023-11-26,2023-12-10
36,36,2025-11-11,2025-11-25
37,37,2025-06-20,2025-07-04
38,38,2024-12-24,2025-01-07
39,39,2023-09-09,2023-09-23
40,40,2023-07-24,2023-08-07
41,41,2025-04-11,2025-04-25
42,42,2025-03-01,2025-03-15
43,43,2025-12-20,2026-01-03
44,44,2024-04-09,2024-04-23
45,45,2024-01-29,2024-02-12
46,46,2025-10-17,2025-10-31
47,47,2024-10-21,2024-11-04
48,48,2025-06-30,2025-07-14
49,49,2024-06-13,2024-06-27
50,50,2025-11-24,2025-12-08
51,51,2023-02-26,2023-03-12
52,52,2024-06-05,2024-06-19
53,53,2023-12-27,2024-01-10
54,54,2023-08-22,2023-09-05
55,55,2023-08-11,2023-08-25
56,56,2023-11-23,2023-12-07
57,57,2026-01-26,2026-02-09
58,58,2025-04-15,2025-04-29
59,59,2024-05-03,2024-05-17
60,60,2024-04-22,2024-05-06
61,61,2025-09-11,2025-09-25
62,62,2025-03-02,2025-03-16
63,63,2024-05-26,2024-06-09
64,64,2025-10-09,2025-10-23
65,65,2024-01-17,2024-01-31
66,66,2024-03-27,2024-04-10
67,67,2026-02-16,2026-03-02
68,68,2023-08-02,2023-08-16
69,69,2024-07-18,2024-08-01
70,70,2025-01-01,2025-01-15
71,71,2024-03-14,2024-03-28
72,72,2025-01-24,2025-02-07
73,73,2024-09-20,2024-10-04
74,74,2025-06-21,2025-07-05
75,75,2025-12-01,2025-12-15
76,76,2024-01-30,2024-02-13
77,77,2023-09-04,2023-09-18
78,78,2025-06-23,2025-07-07
79,79,2023-09-05,2023-09-19
80,80,2024-08-21,2024-09-04
81,81,2025-05-14,2025-05-28
82,82,2023-03-25,2023-04-08
83,83,2025-02-11,2025-02-25
84,84,2023-02-20,2023-03-06
85,85,2024-07-03,2024-07-17
86,86,2025-02-09,2025-02-23
87,87,2025-09-07,2025-09-21
88,88,2024-04-09,2024-04-23
89,89,2024-02-23,2024-03-08
90,90,2023-03-28,2023-04-11
91,91,2023-09-16,2023-09-30
92,92,2023-11-07,2023-11-21
93,93,2023-06-22,2023-07-06
94,94,2025-07-28,2025-08-11
95,95,2024-05-19,2024-06-02
96,96,2023-11-25,2023-12-09
97,97,2023-07-15,2023-07-29
98,98,2023-03-03,2023-03-17
99,99,2025-11-14,2025-11-28
100,100,2024-07-15,2024-07-29
101,101,2025-06-15,2025-06-29
102,102,2025-12-11,2025-12-25
103,103,2025-04-23,2025-05-07
104,104,2023-02-09,2023-02-23
105,105,2024-12-28,2025-01-11
106,106,2024-04-01,2024-04-15
107,107,2025-05-27,2025-06-10
108,108,2025-02-26,2025-03-12
109,109,2023-01-02,2023-01-16
110,110,2026-02-03,2026-02-17
111,111,2023-08-04,2023-08-18
112,112,2025-02-15,2025-03-01
113,113,2024-11-09,2024-11-23
114,114,2024-02-18,2024-03-03
115,115,2023-07-29,2023-08-12
116,116,2025-12-17,2025-12-31
117,117,2023-02-12,2023-02-26
118,118,2023-05-18,2023-06-01
119,119,2024-09-29,2024-10-13
120,120,2024-04-13,2024-04-27
121,121,2024-12-26,2025-01-09
122,122,2023-07-21,2023-08-04
123,123,2023-07-11,2023-07-25
124,124,2023-04-17,2023-05-01
125,125,2023-11-23,2023-12-07
126,126,2025-01-19,2025-02-02
127,127,2024-10-05,2024-10-19
128,128,2023-12-23,2024-01-06
129,129,2024-08-17,2024-08-31
130,130,2024-05-15,2024-05-29
131,131,2024-04-12,2024-04-26
132,132,2024-05-22,2024-06-05
133,133,2023-04-16,2023-04-30
134,134,2025-12-25,2026-01-08
135,135,2023-07-14,2023-07-28
136,136,2023-02-16,2023-03-02
137,137,2025-10-05,2025-10-19
138,138,2024-06-20,2024-07-04
139,139,2025-04-26,2025-05-10
140,140,2024-12-09,2024-12-23
141,141,2025-03-18,2025-04-01
142,142,2024-09-03,2024-09-17
143,143,2023-04-25,2023-05-09
144,144,2024-11-10,2024-11-24
145,145,2024-09-22,2024-10-06
146,146,2023-08-07,2023-08-21
147,147,2023-07-16,2023-07-30
148,148,2024-02-05,2024-02-19
149,149,2025-01-18,2025-02-01
150,150,2024-11-11,2024-11-25
151,151,2023-03-17,2023-03-31
152,152,2023-10-14,2023-10-28
153,153,2025-05-10,2025-05-24
154,154,2025-01-11,2025-01-25
155,155,2023-10-21,2023-11-04
156,156,2025-03-19,2025-04-02
157,157,2025-06-04,2025-06-18
158,158,2024-02-18,2024-03-03
159,159,2024-03-06,2024-03-20
160,160,2026-01-24,2026-02-07
161,161,2023-06-20,2023-07-04
162,162,2024-06-27,2024-07-11
163,163,2025-09-15,2025-09-29
164,164,2023-03-13,2023-03-27
165,165,2025-10-19,2025-11-02
166,166,2024-06-15,2024-06-29
167,167,2023-08-27,2023-09-10
168,168,2024-12-11,2024-12-25
169,169,2024-07-30,2024-08-13
170,170,2026-01-17,2026-01-31
171,171,2024-12-13,2024-12-27
172,172,2024-10-03,2024-10-17
173,173,2024-08-12,2024-08-26
174,174,2023-07-09,2023-07-23
175,175,2025-03-22,2025-04-05
176,176,2025-10-11,2025-10-25
177,177,2024-09-16,2024-09-30
178,178,2024-09-20,2024-10-04
179,179,2025-06-07,2025-06-21
180,180,2025-11-24,2025-12-08
181,181,2025-02-22,2025-03-08
182,182,2024-11-01,2024-11-15
183,183,2024-12-22,2025-01-05
184,184,2024-06-09,2024-06-23
185,185,2024-06-20,2024-07-04
186,186,2025-04-26,2025-05-10
187,187,2025-09-22,2025-10-06
188,188,2026-01-29,2026-02-12
189,189,2025-07-02,2025-07-16
190,190,2023-06-27,2023-07-11
191,191,2023-10-03,2023-10-17
192,192,2023-11-08,2023-11-22
193,193,2025-03-01,2025-03-15
194,194,2024-11-28,2024-12-12
195,195,2023-01-27,2023-02-10
196,196,2025-07-01,2025-07-15
197,197,2024-02-26,2024-03-11
198,198,2025-11-03,2025-11-17
199,199,2024-05-15,2024-05-29
200,200,2025-06-26,2025-07-10
201,201,2023-11-21,2023-12-05
202,202,2023-10-12,2023-10-26
203,203,2026-01-17,2026-01-31
204,204,2025-12-04,2025-12-18
205,205,2024-05-12,2024-05-26
206,206,2025-06-30,2025-07-14
207,207,2023-05-25,2023-06-08
208,208,2025-08-05,2025-08-19
209,209,2023-03-23,2023-04-06
210,210,2025-09-06,2025-09-20
211,211,2026-02-02,2026-02-16
212,212,2024-05-02,2024-05-16
213,213,2023-03-23,2023-04-06
214,214,2023-04-04,2023-04-18
215,215,2023-12-09,2023-12-23
216,216,2025-03-07,2025-03-21
217,217,2023-12-27,2024-01-10
218,218,2025-12-25,2026-01-08
219,219,2024-09-15,2024-09-29
220,220,2025-05-17,2025-05-31
221,221,2024-03-04,2024-03-18
222,222,2023-06-20,2023-07-04
223,223,2024-07-31,2024-08-14
224,224,2023-03-09,2023-03-23
225,225,2025-11-23,2025-12-07
